source,reference,hypothesis
"Chapter-2 Power, Functions and Duties of the Commission Power, Functions and Duties of the Commission: The power, function and duties of the Commission in addition to the power, function and duties of the Commission contained elsewhere in this Act and the Constitution shall be as follows: - to make recommendations to the States in relation to the fiscal equalization grant to be provided by the States to the Local Level in accordance with State Laws, to set bases for determination of the conditional grant to be provided by the State to the Local Level in accordance with State laws and to make recommendations to the State on same, to facilitate and provide assistance necessary to resolve disputes between the Government of Nepal, State or Local Level relating to the distribution of revenues, to make suggestions to the Government of Nepal, in relation to the grants to be provided by the Government of Nepal to the State and Local Level, to provide necessary suggestions to the Government of Nepal and to the States, as requested by them, in relation to the distribution of revenues, to provide necessary suggestions to the Government of Nepal, State and Local Level in case of suggestions requested by them in relation to the taxes levied by them, to make suggestions to the Government of Nepal, State and Local Level in relation to the protection and utilization of Natural Resources","परिच्छेद-२ आयोगको काम, कर्तव्य र अधिकार आयोगको काम, कर्तव्य र अधिकारः संविधान तथा यस ऐनमा अन्यत्र उल्लिखित काम, कर्तव्य र अधिकारका अतिरिक्त आयोगको अन्य काम, कर्तव्य र अधिकार देहाय बमोजिम हुनेछ :- प्रदेश कानून बमोजिम प्रदेशले स्थानीय तहलाई दिने वित्तीय समानीकरण अनुदान सम्बन्धमा प्रदेशलाई सिफारिस गर्ने, प्रदेश कानून बमोजिम प्रदेशले स्थानीय तहलाई प्रदान गर्ने सशर्त अनुदानको आधार तयार गरी प्रदेशलाई सिफारिस गर्ने, नेपाल सरकार, प्रदेश वा स्थानीय तहबीच राजस्वको बाँडफाँट सम्बन्धमा उठेको विवाद समाधान गर्न आवश्यक सहजीकरण र सहयोग गर्ने, नेपाल सरकारले प्रदेश तथा स्थानीय तहलाई दिने अनुदान सम्बन्धमा नेपाल सरकारलाई सुझाव दिने, नेपाल सरकार तथा प्रदेशले राजस्व बाँडफाँटका सम्बन्धमा कुनै सुझाव माग गरेमा आवश्यक सुझाव दिने, नेपाल सरकार, प्रदेश तथा स्थानीय तहले लगाउने करका सम्बन्धमा नेपाल सरकार, प्रदेश वा स्थानीय तहले सुझाव माग गरेमा आवश्यक सुझाव दिने, प्राकृतिक स्रोतको संरक्षण र उपयोगका विषयमा नेपाल सरकार, प्रदेश तथा स्थानीय तहलाई आवश्यक सुझाव दिने","परिच्छेद-२ आयोगको काम, कर्तव्य र अधिकार आयोगको काम, कर्तव्य र अधिकारः यस ऐन र संविधानमा अन्यत्र उल्लिखित काम, कर्तव्य र अधिकारका अतिरिक्त आयोगको अन्य काम, कर्तव्य र अधिकार देहाय बमोजिम हुनेछः- प्रदेश कानून बमोजिम स्थानीय तहलाई प्रदेशले दिने आर्थिक समानीकरण अनुदानको सम्बन्धमा प्रदेशलाई सिफारिस गर्ने, प्रदेश कानून बमोजिम स्थानीय तहलाई प्रदेशले दिने शर्तगत अनुदानको निर्धारणको लागि आधार निर्धारण गर्ने र प्रदेश कानून बमोजिम स्थानीय तहलाई"
To extreme limit of the terms.,कारवाहीको अन्तिम सिमाना ।,शर्तको चरम सीमासम्म ।
"If any person does any act in contravention of Section 54 shall be liable to additional fifty percent punishment, in addition to the punishment that is imposable on a person who does begging or engages any one in begging pursuant to the prevailing law.",कसैले दफा ५४ विपरीत कुनै काम गरेमा भिक्षा माग्न वा मार्न लगाउनेलाई प्रचलित कानून बमोजिम हुने सजायमा पचास प्रतिशत थप सजाय हुनेछ ।,कसैले दफा ५४ विपरीत कुनै काम गरेमा प्रचलित कानून बमोजिम बिगो माग्ने वा कसैलाई पनि बिगो माग्न लगाउने व्यक्तिलाई हुने सजायको अतिरिक्त पचास प्रतिशत थप सजाय हुनेछ ।
"Accessory right do not lead, but follows their principal.",सहायक अधिकार मूख्य अधिकारको मातहतमा रहने गर्दछ,"सहायक अधिकारले (सम्बन्ध सम्बन्धी) कुनै सिद्धान्त (नियम) को अनुशरण गर्दैन, तर त्यस्तो सिद्धान्तको अनुशरण गर्दछ ।"
"Chapter-12 Miscellaneous To obtain consent of guardian or curator: Notwithstanding anything contained elsewhere in this Act, if the matters mentioned in this Act that they may be published or privacy may be disclosed with the consent of the concerned person are related to the person who has not attained the age of eighteen years or who is of unsound mind or who has intellectual disability, such matters may be published or privacy thereof be disclosed only when his or her guardian or curator gives consent and if it benefits him or her while publishing such matters or disclosing privacy related to them.",परिच्छेद-१२ विविध संरक्षक वा माथवर व्यक्तिको मञ्चुरी लिनु पर्ने: यस ऐनमा अन्यत्र जुनसुकै कुरा लेखिएको भए तापनि यस ऐनमा सम्बन्धित व्यक्तिको मञ्जुरीमा सार्वजनिक गर्न वा गोपनीयता खुलासा गर्न सकिने भनी उल्लेख भएका विषयहरू अठार वर्ष उमेर नपुगेको वा मानसिक अवस्था ठीक नभएको वा बौद्धिक अपाङ्गता भएको व्यक्तिसँग सम्बन्धित भएमा त्यस्तो विषय सार्वजनिक गर्दा वा सोसँग सम्बन्धित गोपनीयता खुलासा गर्दा निजको हित हुने भई निजको संरक्षक वा माथवर व्यक्तिले मञ्जुरी दिएको अवस्थामा मात्र सार्वजनिक गर्न वा गोपनीयता खुलासा गर्न सकिनेछ,परिच्छेद-१२ विविध संरक्षक वा माथवरको मञ्जुरी लिनु पर्ने : यस ऐनमा अन्यत्र जुनसुकै कुरा लेखिएको भए तापनि यस ऐनमा प्रकाशन गर्न वा संरक्षक वा माथवरको मञ्जुरीबाट गोपनीयता प्रकट गर्न सकिने विषय सम्बन्धित व्यक्ति अठार वर्ष उमेर पूरा नभएको वा विवेकहीन भएको वा बौद्धिक अपाङ्गता भएका व्यक्तिसँग सम्बन्धित भएमा निजको संरक्षक वा माथवरले मञ्जुरी दिँदा मात्र त्यस्तो विषय प्रकाशन गर्न वा गोपनीयता प्रकट गर्न सक्नेछ र त्यस्तो विषय प्रकाशन गर्दा निजलाई लाभ हुने भएमा
"While implementing large projects of national importance, inter- provincial level projects or programmes.","राष्ट्रिय महत्वका ठूला परियोजना, अन्तरप्रदेशस्तरीय परियोजना “वा - कार्यक्रम सञ्चालन गर्दा।","राष्ट्रिय महत्वका ठूला परियोजना, अन्तरप्रदेशस्तरका परियोजना वा कार्यक्रम कार्यान्वयन गर्दा।"
"In taking evidence pursuant to sub-section , the concerned Court must take evidence being limited to the matter of examination of witness, preparation of answers to the written interrogatories or provision of evidence, document or description of a movable or immovable property pursuant to the request by the court of the foreign state","उपदफा बमोजिम प्रमाण बुझ्दा विदेशी राज्यको अदालतको अनुरोध बमोजिम साक्षी परीक्षण गर्नु पर्ने, बन्दसवालको जवाफ तयार गर्नु पर्ने वा प्रमाण,लिखत वा चल वा अचल सम्पत्तिको विवरण दिनु पर्ने विषयमा सीमित रही सम्बन्धित अदालतले प्रमाण बुझ्नु पर्नेछ","उपदफा बमोजिम प्रमाण बुझ्ने क्रममा सम्बन्धित अदालतले विदेशी राज्यको अदालतको अनुरोध बमोजिम साक्षी परीक्षण, लिखित प्रश्नको जवाफ तयार गर्ने वा प्रमाण, कागजात वा चल अचल सम्पत्तिको विवरण उपलब्ध गराउने विषयमा मात्र प्रमाण बुझ्नु पर्नेछ"
"""Prescribed"" or ""as prescribed"" means prescribed or as prescribed in the Rules framed under this Act","“तोकिएको” वा ""तोकिए बमोजिम” भन्नाले यस ऐन अन्तर्गत बनेको नियममा तोकिएको वा तोकिए बमोजिम सम्झनु पर्छ",“तोकिएको” वा “तोकिए बमोजिम” भन्नाले यस ऐन अन्तर्गत बनेको नियममा तोकिएको वा तोकिए बमोजिम सम्झनु पर्छ
"Any member interested to discuss additional issues, not included within the list of agenda set to be discussed within the meeting pursuant to sub-section, shall notify the Secretary of the additional issue and reason for its introduction to the meeting 24 hours prior to the meeting",कुनै सदस्यले उपदफा बमोजिम बैठकमा छलफल हुने विषय सूचीमा उल्लिखित विषयको अतिरिक्त अन्य कुनै विषयमा छलफल गराउन चाहेमा त्यसरी छलफल गर्न चाहेको विषय र कारण सहितको सूचना बैठक बस्नुभन्दा कम्तीमा चौबीस घण्टा अगावै आयोगको सचिवलाई दिनु पर्नेछ,कुनै सदस्यले उपदफा बमोजिम बैठकमा छलफल हुने विषयसूचीमा उल्लिखित विषयको अतिरिक्त अन्य कुनै विषयमा छलफल गराउन चाहेमा त्यसरी छलफल गर्न चाहेको विषय र कारण सहितको सूचना बैठक बस्नुभन्दा कम्तीमा चौबीस घण्टा अगावै आयोगको सचिवलाई दिनु पर्नेछ
An equitable arbitration renders each person's due.,"मध्यस्थले गर्ने निष्पक्ष व्यवहारले जो जति योग्य हुन्छ, त्यति दिन्छ ।",न्यायोचित मध्यस्थताले प्रत्येक व्यक्तिको हक दर्शाउँछ ।
"Notwithstanding anything contained in sub-section (7), if the Juvenile Court is of the opinion that it not reasonable to keep the child accused of offence in the observation chamber, having regard to the child's physical condition, age, circumstances at the time of commission of the offence or condition of the observation chamber, the Juvenile Court may make an order to investigate the case by entrusting such a child to his or her father, mother, other family member or guardian and in their absence to any social organization working in the field of protection of the rights and interests of the child or child reform home on the condition that the child shall make presence when the Juvenile Court so requires","उपदफा मा जुनसुकै कुरा लेखिएको भए तापनि कसूरजन्य कार्यको आरोप लागेको बालबालिकाको शारीरिक अवस्था, उमेर, कसूरजन्य कार्य गर्दाको परिस्थिति वा निगरानी कक्षको अवस्थालाई ध्यानमा राख्दा निजलाई निगरानी कक्षमा राख उपयुक्त छैन भन्ने बाल अदालतलाई लागेमा बाल अदालतले खोजेको बखत उपस्थित गराउने शर्तमा त्यस्तो बालबालिकालाई निजको बाबु, आमा, परिवारका अन्य सदस्य वा संरक्षक र निजहरू नभए बालबालिकाको हक हितको संरक्षण गर्ने कार्यमा संलग्न सामाजिक संस्था वा बाल सुधार गृहको जिम्मा लगाई मुद्दाको अनुसन्धान गर्ने आदेश दिन सक्नेछ","उपदफा मा जुनसुकै कुरा लेखिएको भए तापनि बाल अदालतले कसूरजन्य कार्यको आरोप लागेका बालबालिकाको शारीरिक अवस्था, उमेर, कसूरजन्य कार्य गर्ने बखतको परिस्थिति वा निगरानी कक्षको अवस्थालाई विचार गरी निगरानी कक्षमा राख्ने मनासिब नदेखिएमा निजको बाबु, आमा, परिवारका अन्य सदस्य वा संरक्षकलाई र निजहरू नभए अधिकार तथा हित संरक्षणको क्षेत्रमा काम गर्ने कुनै सामाजिक संस्थालाई त्यस्तो बालबालिकाको जिम्मा लगाउन मुद्दाको अनुसन्धान गर्न बाल अदालतले आदेश गर्न सक्नेछ"
"A claimant having his/her claim accepted or rejected in part pursuant to Sub- Section shall, within fifteen days from the date of publication of the notice thereof, have to submit his/her claims again enclosing the additional evidences, if any",उपदफा बमोजिम आफूनो दाबी आंशिक स्वीकृत वा अस्वीकृत भएका दाबीकर्ताले सोको जानकारी पाएको पन्ध्र दिनभित्र आफ्नो थप प्रमाण भए सो समेत समावेश गरी दाबी पेश गर्नु पर्नेछ,उपदफा बमोजिम आफ्नो दाबी आंशिक रूपमा स्वीकार वा अस्वीकार गरेको दाबीकर्ताले सो सूचना प्रकाशन भएको मितिले पन्ध्र दिनभित्र कुनै थप प्रमाण संलग्न गरी आफ्नो दाबी पुनः पेश गर्नु पर्नेछ
Chapter-11 Voluntary Liquidation of Banks or Financial Institutions Voluntary Liquidation of Bank or Financial Institution: Any bank or financial institution wishing to go for voluntary liquidation shall submit an application along with an action plan of voluntary liquidation,परिच्छेद-११ बैङ्क वा वित्तीय संस्थाको स्वेच्छिक खारेजी बैङ्क वा वित्तीय संस्थाको स्वेच्छिक खारेजी : स्वेच्छिक खारेजीमा जान चाहने कुनै बैङ्क वा वित्तीय संस्थाले स्वेच्छिक खारेजीको कार्ययोजना सहित राष्ट्र बैङ्क समक्ष निवेदन पेश गर्नु पर्नेछु,परिच्छेद-११ बैङ्क वा वित्तीय संस्थाको स्वेच्छिक खारेजी बैङ्क वा वित्तीय संस्थाको स्वेच्छिक खारेजी : स्वेच्छिक खारेजी गर्न जाने कुनै बैङ्क वा वित्तीय संस्थाले स्वेच्छिक खारेजीको कार्य योजना सहितको निवेदन दिनु पर्नेछ
Water runs and ought to run where it is accustomed to run.,"पानी बग्छ र जहाँ बग्ने गरेको छ, त्यही बग्नु पर्दछ ।",पानी बग्छ र बग्नु पर्नेछ जुन ठाउँमा पानी बग्छ ।
Done on this day.,यसै दिन गरिएको ।,यस दिन गरिएको ।
A Director shall have to fully comply with the directives issued by the Rastra Bank from time to time,सञ्चालकले राष्ट्र बैङ्कत समय समयमा दिएको निर्देशनको पूर्ण रुपमा पालना गर्नु पर्नेछ,सञ्चालकले राष्ट्र बैङ्कले समय समयमा दिएको निर्देशनको पूर्ण पालना गर्नु पर्नेछ
"Records of Assets and Liabilities: A Liquidator shall immediately prepare a record of the assets, liabilities or potential liabilities of a bank or financial institution which has gone into mandatory liquidation under this Act and a copy of which shall be submitted to the Rastra Bank and another copy shall be retained at the concerned bank or financial institution","सम्पत्ति तथा दायित्वको लगत : लिक्विडेटरले यस ऐन बमोजिम बाध्यात्मक खारेजीमा गएको बैङ्क वा वित्तीय संस्थाको सम्पत्ति, दायित्व वा सम्भाव्य दायित्वको अविलम्ब लगत तयार गरी एक प्रति राष्ट्र बैङ्क समक्ष बुझाई एक प्रति सम्बन्धित बैङ्क वा वित्तीय संस्थामा राख्नु पर्नेछ","सम्पत्ति तथा दायित्वको अभिलेख : यस ऐन बमोजिम बाध्यात्मक खारेजीमा गएको बैङ्क वा वित्तीय संस्थाको सम्पत्ति, दायित्व वा सम्भावित दायित्वको अभिलेख लिक्विडेटरले तुरुन्त तयार गरी सोको एक प्रति राष्ट्र बैङ्कमा पेश गरी अर्को एक प्रति सम्बन्धित बैङ्क वा वित्तीय संस्थामा राख्नु पर्नेछ"
The act itself does not constitute guilt unless done with a guilty intent.,दोषी भावना बिना गरिएको काम आफैंमा दोष हुँदैन ।,अपराधी मनसायले गरेकोमा बाहेक सो काम आफैले अपराधको विषय बनाउँदैन ।
Power to frame Rules: The Government of Nepal may frame necessary Rules in order to implement this Act,नियम बनाउने अधिकार: यो ऐन कार्यान्वयन गर्न नेपाल सरकारले आवश्यक नियमहरू बनाउन सक्नेछ,नियम बनाउने अधिकारः यो ऐन कार्यान्वयन गर्न नेपाल सरकारले आवश्यक नियम बनाउन सक्नेछ
"Power to send for implementation in writing: If the Commission finds that any agency or official has not made available necessary assistance to the Commission, it may write to the higher agency or official, above such agency or official for assistance in the matter",कार्यान्वयनका लागि लेखी पढाउन सक्ने: कुनै निकाय वा पदाधिकारीले आयोगलाई आवश्यक सहयोग उपलब्ध नगराएमा आयोगले कार्यान्वयनको लागि त्यस्तो निकाय वा अधिकारीको तालुक निकाय वा अधिकारी समक्ष लेखी पठाउन सक्नेछ,कार्यान्वयनको लागि लेखी पठाउन सक्ने : कुनै निकाय वा पदाधिकारीले आयोगलाई आवश्यक सहयोग उपलब्ध नगराएमा आयोगले त्यस्तो निकाय वा पदाधिकारीको तालुक निकाय वा अधिकारी समक्ष आवश्यक सहयोगको लागि लेखी पठाउन सक्नेछ
That which is proved by the record ought not to be denied.,"जुन विषय औपचारिक अभिलेखबाट प्रमाणित भएको छ, त्यस विषयलाई इन्कार गर्न सकिँदैन ।",अभिलेखले प्रमाणित गरेको कुरा इन्कार गर्नु हुँदैन ।
"Details of suggestions, recommendations given by the Commission to Nepal Government or any other agency.",आयोगले नेपाल सरकार वा अन्य कुनै निकायलाई दिएको सुझाव तथा त्यस्तो निकायलाई गरेको सिफारिसको विवरण।,आयोगले नेपाल सरकार वा अन्य कुनै निकायलाई दिएको सिफारिस तथा सुझावको विवरण।
