English,Nepali,en_len,ne_len
"Provisions relating to the validity period, renewal of the identity cards and other matters related thereto shall be as prescribed.","परिचयपत्रको मान्य अवधि, नवीकरण तथा तत्‌ सम्बन्धी अन्य व्यवस्था तोकिए बमोजिम हुनेछ ।",20,13
"No bank or financial institution shall be allowed to declare or distribute dividends to its shareholders until it recovers all of its preliminary expenses and the losses sustained by it until the previous year, capital as prescribed by the Rastra, capital fund, possible loss provisioning bank and for general reserve fund pursuant to Section 44 and until complete sale of shares to be allotted to the general public","बैङ्क वा वित्तीय संस्थाले आफ्नो सम्पूर्ण प्रारम्भिक खर्च, अघिल्लो वर्षसम्म हुन गएको नोक्सानी, राष्ट्र बैङ्कले तोकिदिएको पूँजी, पूँजीकोष, सम्भावित नोक्सानी व्यवस्था र दफा ४४ बमोजिम साधारण जगेडा कोषमा छुट्याउनु पर्ने रकम पूरा नगरेसम्म तथा सर्वसाधारणलाई छुट्याइएको शेयर पूर्ण रुपमा बिक्री वितरण नगरेसम्म शेयरधनीहरुलाई लाभांश घोषणा गर्न वा वितरण गर्न पाउने छैन",68,51
"The Auditor General may, if he or she deems it appropriate, examine, in accordance with the recognized principles of accounting, as to whether or not any official within his or her scope of competence has borne financial accountability","नेपाल सरकार, प्रदेश सरकार वा स्थानीय तहको पूर्ण स्वामित्व भएको सङ्गठित संस्थाको लेखापरीक्षण: दफा ३ को उपदफा को खण्ड मा जुनसुकै कुरा लेखिएको भए तापनि नेपाल सरकार, प्रदेश सरकार वा स्थानीय तहको पूर्ण स्वामित्व भएको सङ्गठित संस्थाको लेखापरीक्षण गर्न महालेखापरीक्षकले आवश्यकतानुसार प्रचलित कानून बमोजिम प्रमाणपत्र प्राप्त लेखापरीक्षकलाई महालेखापरीक्षकले सहायकको रुपमा नियुक्त गर्न सक्नेछ",38,53
"if the request is for the taking of evidence,- if the court or body that is requested to take evidence is identified, details of that court or body, details of the taking of evidence or other judicial act to be done, if any witnesss has to be examined, name, surname and address of such witness, and details of passport or national identity card indicating his or her identity, if a witness has to be examined by a letter interrogatory, description of the questions to be asked to the witness, indication as to whether a witness should be examined under oath or not, if inspection, measurement, survey or examination of any document, movable or immovable property should be made, description thereof","प्रमाण बुझ्न माग गरेको भए,- प्रमाण बुझ्न अनुरोध गरिएको अदालत वा निकाय पहिचान हुन सकेको भए सो अदालत वा निकायको विवरण, प्रमाण बुझ्न पर्ने वा गर्नु पर्ने अन्य न्यायिक कामको विवरण, कुनै साक्षी बुझ्नु पर्ने भएमा त्यस्तो साक्षीको नाम, थर, वतन र निजको पहिचान खुल्न सक्ने राहदानी वा राष्ट्रिय परिचयपत्रको विवरण, बन्द सवालबाट साक्षी बुझ्नु पर्ने भएमा निजलाई सोध्नु पर्ने प्रश्नको विवरण, साक्षी बुझ्दा कुनै शपथ लिन्‌ पर्ने वा नपर्ने सोको विवरण, कुनै लिखत, चल वा अचल सम्पत्तिको निरीक्षण, नाप जाँच, नाप नक्सा वा परीक्षण गर्नु पर्ने भए सोको विवरण",120,90
"To determine level of market: For the purpose of protecting the rights of consumers, managing the market in accordance with the market rule and making market fair and transparent, the levels of market involved in taking the prescribed goods or services from the producer or importer to the final consumer shall be as prescribed","बजारको तह निर्धारण गर्नेः उपभोक्ता अधिकार संरक्षण गर्ने, बजारको नियम (मार्केट रुल) बमोजिम बजार व्यवस्थापन गर्ने तथा बजारलाई स्वच्छ तथा पारदर्शी बनाउने प्रयोजनका लागि तोकिएको वस्तु वा सेवा सम्बन्धित उत्पादक वा पैठारीकर्तादेखि अन्तिम उपभोक्तासम्म पुच्याउँदा संलग्न हुने बजारको तह तोकिए बमोजिम हुनेछ",54,42
"Government of Nepal to be plaintiff: The Government of Nepal shall be plaintiff in a case punishable under sub-sections (1), (2), (3), and of Section 55, and such a case shall be deemed to have been included in Schedule-1 of the National Criminal Procedures Code, 2074.","नेपाल सरकार वादी हुने: दफा २५ को उपदफा (१), (२), (३), र अन्तर्गतको सजाय हुने मुद्दा नेपाल सरकार वादी हुनेछ र सो मुद्दा सरकारी मुद्दा सम्बन्धी ऐन, २०४९ को अनुसूची-१ मा समावेश भएको मानिनेछ ।",46,35
Unequivocal sentence requires no interpretation.,अनिवार्य वाक्यलाई व्याख्या आवश्यक छैन । (जेन व्याख्या आवश्यक छैन । ),5,12
A testing list of the goods or services shall have to be prepared as prescribed for the purpose of carrying out market inspection or inquiry pursuant to sub-section (1),उपदफा बमोजिम बजार निरीक्षण वा जाँचबुझ गर्ने प्रयोजनको लागि तोकिए बमोजिम वस्तु वा सेवाको परीक्षण सूची तयार गर्नु पर्नेछ,29,19
"Notwithstanding anything contained in sub-section , in cases where it is necessary to provide any personal data or details to the court or the agency or official authorized under law in the course of investigation of any criminal offence, such data or details shall be provided",उपदफा मा जुनसुकै कुरा लेखिएको भए तापनि कुनै फौजदारी कस्रको अनुसन्धानको सिलसिलामा अदालत वा कानून बमोजिम अधिकार प्राप्त निकाय वा अधिकारीलाई कुनै वैयक्तिक तथ्याङ्क वा विवरण उपलब्ध गराउनु पर्ने अवस्था भएमा त्यस्तो तथ्याङ्क वा विवरण उपलब्ध गराउनु पर्नेछ,46,38
To the middle line.,मध्यमरेखामा ।,4,2
The Local Level may declare a state of public health emergency in accordance with the prevailing law.,स्थानीय तहले प्रचलित कानून बमोजिम जनस्वास्थ्य विपद्‌ अवस्था घोषणा गर्न सक्नेछ ।,17,12
"The Commission may, on the basis of necessity, establish offices in the provinces",आयोगले आवश्यकता अनुसार प्रदेशमा कार्यालय स्थापना गर्न सक्नेछ,13,8
"Provided that, if the remaining term is less than one year, nomination or election, as the case may be, shall not made for such a vacant position","तर, एक वर्षभन्दा कम अवधिको लागि रिक्त पदमा मनोनयन वा निर्वाचन गरिने छैन",27,13
To use force.,शक्ति प्रयोग ।,3,3
"One’s own head, the fine for committing murder.","आफ्नै टाउको, (मूल्य) मानव हत्या गरेको जरिवाना ।",8,8
"The bank or financial institution may, if it wishes, convert the shares into ordinary shares having fulfilled the process specified by the Rastra Bank in such manner as not to be the share ownership of the promoter shares group less than 51 percent",बैङ्क वा वित्तीय संस्थाले चाहेमा राष्ट्र बैङ्कले तोकेको प्रक्रिया पुरा गरी संस्थापक शेयर समूहको स्वामित्व एकाउन्न प्रतिशतभन्दा कम नहुने गरी बाँकी अंश सर्वसाधारण शेयर समूहमा परिणत गर्न सक्नेछ,43,28
"if the request is for the freezing or confiscation of a property, | description as to whether judicial proceedings in the matter related with the property is at the stage of being filed or has been filed or decision has not been made, description showing that the confiscation of the property has a material relation with judicial proceedings, description that an order of confiscation has been made and such order has become unappealable, description that the amount payable under the order of confiscation remains due, if the person affected by the order of confiscation has not appeared in the court, description that such person has been served with a notice with adequate time for his or her defence","सम्पत्ति जफत वा रोक्का गर्न माग गरेको भए,- सम्पत्तिसँग सम्बन्धित विषयमा न्यायिक कारबाही दायर हुने अवस्थामा रहेको, दायर भएको वा निर्णय भई नसकेको विवरण, न्यायिक कारबाहीमा सम्पत्ति जफत गर्ने कामको सारभूत सम्बन्ध रहेको विवरण, जफत सम्बन्धी आदेश भएको र त्यस उपर पुनरावेदन गर्ने अवस्था नरहेको विवरण, जफत गर्ने आदेश बमोजिम तिर्नु पर्ने रकम तिर्न बाँकी रहेको विवरण, जफतको आदेशबाट प्रभावित व्यक्ति अदालतमा उपस्थित नभएको भए निजले आफ्नो प्रतिरक्षाको लागि पर्याप समय सहितको सूचना पाएको विवरण",118,75
Each health institution shall have the duty to comply with the directives given by the concerned body after the monitoring and evaluation carried out pursuant to sub-section .,उपदफा बमोजिम भएको अनुगमन र मुल्याङ्कनपछि सम्बन्धित निकायले दिएको निर्देशनको पालना गर्नु प्रत्येक स्वास्थ्य संस्थाको कर्तव्य हुनेछ।,28,17
To increase awareness about the use of agricultural lands.,कृषियोग्य भूमिको उपयोगको बारेमा सचेतना अभिवृद्धि गर्ने।,9,7
producing or selling the goods or service that cause adverse impact upon the health of consumer,उपभोक्ताको स्वास्थ्यमा प्रतिकूल असर पर्ने वस्तु वा सेवाको उत्पादन वा बिक्री गर्न,16,12
Constitution means the Constitution of Nepal,संविधान भन्नाले नेपालको संविधान सम्झनु पर्छ,6,6
"To submit report: Each health institution shall submit the report to the body that issues the license every year as prescribed, by including the details of the service provided by it.",प्रतिवेदन पेश गर्ने : प्रत्येक स्वास्थ्य संस्थाले आफूले प्रदान गरेको सेवाको विवरण समेत समावेश गरी प्रत्येक वर्ष इजाजतपत्र प्रदान गर्ने निकाय समक्ष तोके बमोजिम प्रतिवेदन पेश गर्नु पर्नेछ।,31,28
"After getting information as referred to in Clause of Sub-Section , the Office of the Company Registrar shall make in the concerned registration book that an order of initiating the process of mandatory liquidation has been issued",उपदफा को खण्ड बमोजिम सूचना प्राप्त गरेपछि कम्पनी रजिष्ट्रारको कार्यालयले त्यस्तो बैङ्क वा वित्तीय संस्थासँग सम्बन्धित दर्ता किताबमा बाध्यात्मक खारेजीको कार्य प्रारम्भ गर्ने आदेश भएको व्यहोरा जनाउनु पर्नेछ,37,28
Tobe in accordance with this Act: The matters contained in this Act shall be in accordance with this Act and other matters shall be in accordance with the prevailing law,यसै ऐन बमोजिम हुनेः यस ऐनमा लेखिए जति कुरामा यसै बमोजिम र अन्य कुरामा प्रचलित कानून बमोजिम हुनेछ,30,18
An acquiring institution may also carry out comprehensive valuation of the assets and liabilities of the target institution,प्राप्त गर्ने संस्थाले लक्षित संस्थाको सम्पत्ति तथा दायित्वको विस्तृत मूल्याङ्न गराउन सक्नेछ,18,12
"Things which are so written in a will that they cannot be understood, as just as if they had not been written.",इच्छापत्रमा लेखिएका कुनै कुरा बुझ्न नसकिने (अस्पष्ट) गरी लेखिएको रहेछ भने त्यस्तो कुरा नलेखिएक सरह हुन्छ ।,22,17
"The Market Monitoring Team referred to in sub-section shall, while making monitoring and inspection of the market, use the market monitoring and inspection form as prescribed",उपदफा बमोजिमको अनुगमन टोलीले बजार अनुगमन तथा निरीक्षण गर्दा तोकिए बमोजिमको बजार अनुगमन तथा निरीक्षण फारमको प्रयोग गर्नेछ,26,18
To evaluate the implementation of the Unemployment Support Program.,बेरोजगार सहायता कार्यक्रमको कार्यान्वयनको मूल्याङ्कन गर्ने ।,9,7
To get recovery of the reasonable compensation from the offender,पीडकबाट मनासिब माफिकको क्षतिपूर्ति भराई पाउने,10,6
"The invigilator appointed pursuant to sub-section shall be required to provide the Council with a report on invigilation of the examinations, specifying the matters as prescribed",उपदफा बमोजिम नियुक्त गरिएका पर्यवेक्षकले आफूले निरीक्षण गरेका परीक्षाको सम्बन्धमा परिषद्ले तोके बमोजिमको विवरण खुलाई परिषद्‌ समक्ष प्रतिवेदन पेश गर्नु पर्नेछ,26,21
Amount received by way of fine imposed pursuant to Section 55%.,दफा ५४ बमोजिम भएको जरिबाना बापत प्राप्त हुने रकम।,11,9
"Work to be performed as an acting: The senior most Member of the Commission, shall work as the acting Chairperson, if the position of the Chairperson falls vacant due to any reason, is unable to perform work pursuant to sub-article of Article 101 of the constitution, has gone for a foreign visit or is on leave for more than 7 days","कार्यबाहक भई काम गर्ने: कुनै कारणवश अध्यक्षको पद रिक्त भएमा, निज निलम्बनमा परेमा, विदेश भ्रमणमा गएकोमा वा सात दिनभन्दा बढी समयसम्म बिदामा रहेकोमा आयोगको वरिष्ठतम्‌ सदस्यले आयोगको कार्यवाहक अध्यक्ष भई काम गर्नेछ",61,32
"Things which ought not to be done, when done, may be valid.","गर्न नहुने कुनै काम गरेकोमा त्यस्तो कार्य मान्य हुन सक्छ। (कानूनबाट निषेधित काम भइसकेपछि कुनै खास अवस्थामा मान्य हुन सक्दछ, तर त्यस्तो काम गर्ने व्यक्तिले कानून बमोजिम हुन सक्ने सजायबाट फूर्सत पाउन सक्दैन ।)",12,34
"Recommendation for taking actions against_Auditor: The Rastra Bank shall recommend to the concerned regulating authority to remove the name of an auditor, who does not perform his/her duties as set forth in this Act, from the panel of the auditors prohibiting him/her to carry out audit of any bank or financial institution for one year to three years",लेखापरीक्षकलाई कारबाहीको सिफारिस गर्ने : यस ऐन बमोजिमको कर्तव्य पालना नगर्ने लेखापरीक्षकलाई राष्ट्र बैङ्कले कुनै पनि बैङ्क वा वित्तीय संस्थाको एक वर्षदेखि तीन वर्षसम्म लेखापरीक्षण गर्न नपाउने गरी लेखापरीक्षकको सूचीबाट हटाउन सम्बन्धित नियमनकारी निकायमा सिफारिस गरी पठाउनेछ,58,37
"No one shall instigate or provoke anyone to commit an act that causes untouchability or discrimination or abet any one to commit such act, or knowingly participate in such act","कसैले पनि जातीय छुवाछूत वा भेदभाव हुने कार्य गर्न कसैलाई भड्काउने, उक्साउने वा त्यस्तो कार्य गर्न दुरुत्साहन हुने कुनै कार्य गर्न वा त्यस्तो कुनै क्रियाकलापमा जानी-जानी सहभागी हुनु हुँदैन",30,29
"""Off-balance-sheet transaction"" means and includes letters of credit, letters of guarantee, letters of acceptance, commitments, swaps, options and transaction in advance concerning foreign exchange having, the potential of bearing liabilities by a bank or financial institution and also transactions of the instruments as specified by the Rastra Bank, from time to time","“वासलात बाहिरको कारोबार” भन्नाले बैङ्क वा वित्तीय संस्थाले दायित्व व्यहोर्नु पर्ने सम्भावना भएको प्रतीतपत्र, जमानतपत्र, स्वीकारपत्र, प्रतिबद्धता, विदेशी विनिमय सम्बन्धी स्वाप, अप्सन, अग्रिम कारोबार सम्झनु पर्छ र सो शाब्दले राष्ट्र बैङ्कले समय समयमा तोकिदिएका उपकरणको कारोबार समेतलाई जनाउँछ",52,38
If he or she is a shareholder of any firm or private limited company which is a partner in any contract to be made with the Fund.,कोषसँग हुने. ठेक्का पट्टाको साझेदार भएको कुनै फर्म वा प्राईभेट लिमिटेड कम्पनीमा निज शेयर होल्डर भई राखेकोमा ।,27,18
If no member of the family has gone to foreign employment.,परिवारको कुनै सदस्य वैदेशिक रोजगारीमा नगएकोमा ।,11,7
Work Division: The division of the work of the Chairperson and Member shall be as determined by the Commission,कार्य विभाजन: अध्यक्ष र सदस्यको कार्य विभाजन आयोगले तोके बमोजिम हुनेछ,19,11
Other provisions relating to the program referred to in sub-section shall be as prescribed.,उपदफा बमोजिमको कार्यक्रम सम्बन्धी अन्य व्यवस्था तोकिए बमोजिम हुनेछ ।,14,10
"Notwithstanding anything contained in sub-section (1), except for the provision made otherwise as per the quality or nature of any goods, the goods shall be forbidden to be imported which are not supposed to or cannot be used after six months from the date of being imported or which cannot be used after the expiry of such period",उपदफा मा जुनसुकै कुरा लेखिएको भए तापनि कुनै वस्तुको गुणस्तर वा प्रकृति बमोजिम अन्यथा व्यवस्था भएकोमा बाहेक पैठारी भएको मितिबाट छ महिनापछि उपभोग गर्न नहुने वा नसकिने वा त्यस्तो अवधि समाप्त भएपछि उपभोग गर्न नमिल्ने वस्तु पैठारी गर्न पाइने छैन,58,40
Miscellaneous,बिविध,1,1
The advanced payment made pursuant to Sub-Section shall be adjusted while making payment pursuant to Section 94,उपदफा बमोजिम दिएको पेश्की दफा ९४ बमोजिम भुक्तानी गर्दाका बखत समायोजन गर्नु पर्नेछ,17,13
"“Employment Service Center” means the Employment Service Center established pursuant to Section 10, in order to collect data of the unemployed person, identify employment opportunities and disseminate information, provide information on the availability of laborers to the employer and provide other services relating to employment.","रोजगार सेवा केन्द्र” भन्नाले बेरोजगार व्यक्तिको सूचना सङ्गलन, रोजगारीका अवसरहरूको पहिचान र सूचना प्रवाह, रोजगारदाताको लागि श्रमिक उपलब्धताको जानकारी र रोजगार सम्बन्धी अन्य सेवा प्रदान गर्न दफा १० बमोजिम स्थापना भएको रोजगार सेवा केन्द्र सम्झनु पर्छ।",45,36
"Notwithstanding anything contained in sub-section and (2), health service may be provided without informed consent of the service recipient in any of the following circumstances: If the service recipient is not in a condition to give consent or has not given anyone else permission or authority to give such consent, his or her wife or husband, father or mother, grandfather or grandmother, adult son or daughter, brother or sister so far as available respectively or available closest person of the service recipient who has given such consent. If the health service has been provided without consent under the prevailing law or by an order of the court, If there is a serious threat likely to occur upon public health if any person is not treated, If there is a possibility of death of the concerned patient or likely to occur irreparable damage to his or her health if it is delayed to provide health service, If the concerned person has not refused to obtain health service in an expressed or unexpressed manner or by conduct, In other cases as prescribed.","उपदफा (१) वा (२) मा जुनसुकै कुरा लेखिएको भए तापनि देहायको अवस्थामा सेवाग्राहीको सुसूचित सहमति विना स्वास्थ्य सेवा प्रदान गर्न सकिनेछ:- सेवाग्राहीले सहमति प्रदान गर्न सक्ने अवस्थामा नरहेको र कसैलाई पनि त्यस्तो सहमति प्रदान गर्ने अनुमति वा अख्तियारी नदिएकोमा उपलब्ध भएसम्म क्रमशः निजको पति वा पत्ली, बाबु वा आमा, हजुरबुवा वा हजुरआमा, उमेर पुगेका छोरा वा छोरी, दाजुभाइ वा दिदीबहिनी वा उपलब्ध सेवाग्राहीको निकटतम व्यक्तिले सहमति दिएको अवस्थामा, प्रचलित कानून वा अदालतको आदेश बमोजिम सहमति विना नै स्वास्थ्य सेवा उपलब्ध गराइएको अवस्थामा, कुनै व्यक्तिलाई उपचार नगर्दा जनस्वास्थ्यमा गम्भीर खतरा उत्पन्न हुने अवस्था रहेकोमा, स्वास्थ्य सेवा उपलब्ध गराउन ढिलाई गरिएमा सम्बन्धित बिरामीको मृत्यु हुन सक्ने वा निजको स्वास्थ्यमा अपूरणीय क्षति पुग्न सक्ने सम्भावना रहेकोमा, सम्बन्धित व्यक्तिले व्यक्त वा अव्यक्त रूपमा वा आचरणद्वारा स्वास्थ्य सेवा लिन अस्वीकार नगरेकोमा, तोकिए बमोजिमको अन्य अवस्थामा ।",180,131
No to become inconsistent with federal and provincial laws.,सङ्घीय र प्रदेश कानूनसँग बाझिन नहुने।,9,6
"Code of Conduct may be framed: The Government of Nepal shall frame and introduce necessary Code of Conduct with regard to the prevention of sexual harassment""",आचार संहिता बनाउन सक्ने: यौनजन्य दुर्व्यवहारको निवारण गर्ने सम्बन्धमा नेपाल सरकारले आवश्यक आचार संहिता बनाई लागू गर्नेछ,26,17
"If, upon making an inquiry or physical examination pursuant to this section, it appears that the disability identity card cannot be issued to any person, the Local Level shall give information thereof, along with the reason, to the applicant.",यस दफा बमोजिम जाँचबुझ वा शारीरिक परीक्षण गर्दा कनै व्यक्तिलाई अपाङ्गताको परिचयपत्र दिन मिल्ने नदेखिएमा कार्यालयले सोको कारण सहितको जानकारी निवेदकलाई दिनु पर्नेछ ।,39,24
"The person adopting a child shall allow the adopted child to meet, contact and make correspondence with his or her biological parents","धर्मपुत्र वा धर्मपुत्री राख्ने व्यक्तिले धर्मपुत्र वा धर्मपुत्री हुने बालबालिकालाई आफ्नो जन्मदिने बाबु आमासँग भेटघाट, सम्पर्क तथा पत्राचार गर्न दिनु पर्नेछ",22,21
"Not to bar institution of a case under prevailing laws: If any act or action considered to be an offense under this Act is also punishable under other prevailing laws, institution of a case and punishment under such laws, shall not be considered to have been barred by this Act",प्रचलित कानून बमोजिम मुद्दा चलाउन बाधा नपर्नेः यस ऐन बमोजिम कसूर मानिने कुनै काम कारबाहीमा अन्य प्रचलित कानून बमोजिम पनि सजाय हुने रहेछ भने त्यस्तो कानून बमोजिम मुद्दा चलाउन तथा कारबाही गर्न यस ऐनले बाधा पुच्याएको मानिने छैन,50,38
To release the child on supervision and direction of the child welfare authority,बालबालिकालाई गल्ती महसूस गर्न लगाउने,13,5
At the judge’s bench.,न्यायाधीशको इजलासमा ।,4,3
Social service provider,समाजसेवी,3,1
Other provisions relating to the studies of the children whose guardians are not identified shall be as prescribed,अभिभावक पहिचान नभएका बालबालिकाको पठनपाठन सम्बन्धी अन्य व्यवस्था तोकिए बमोजिम हुनेछ,18,11
To the use and benefit.,उपयोग र लाभको लागि ।,5,5
Appearance in court.,अदालतमा उपस्थिति ।,3,3
"Process or judicial document deemed to have been duly served: If a foreign state gives information that a process or judicial document has been served on the concerned person on the basis of a request made for mutual legal assistance pursuant to Section 15, the process or judicial document is deemed to have been duly served on that person",रीतपूर्वक म्याद वा न्यायिक लिखत तामेल भएको मानिने : दफा १५ बमोजिम पारस्परिक कानूनी सहायताको लागि गरिएको अनुरोधको आधारमा विदेशी राज्यबाट सम्बन्धित व्यक्तिको नाममा म्याद वा न्यायिक लिखत तामेल भएको लेखी आएमा निजको नाममा रीतपूर्वक म्याद वा न्यायिक लिखत तामेल भएको मानिनेछ,59,42
An action brought by the plaintiff to secure personal satisfaction.,वादीले आफ्नो व्यक्तिगत सन्तुष्टिका लागि चलाउने उजुरी । (प्रत्यक्ष फाइदा नभई कानूनी प्रक्रिया पूरा भएको मनोविज्ञानबाटै लिन सकिने सन्तुष्टि),10,19
"Duties and Conduct of Post: The duties and conduct of the post to be adhered by the Chairperson and Members of the Commission shall be as per the Constitution, this Act and prevailing federal laws","पदीय मर्यादा तथा आचरण पालन गर्नु पर्ने: आयोगका अध्यक्ष तथा सदस्यले आफ्नो कार्य सम्पादन गर्दा संविधान, यस ऐन तथा प्रचलित कानून बमोजिमको पदीय मर्यादा तथा आचरण पालन गर्नुपर्नेछ",35,28
"Chapter-2 Right to Reproductive Health: Every woman and teenager shall have the right to obtain education, information, counseling and service relating to sexual and reproductive health","परिच्छेद-२ प्रजनन स्वास्थ्य: प्रत्येक महिला तथा किशोर किशोरीलाई यौन तथा प्रजनन स्वास्थ्य सम्बन्धी शिक्षा, सूचना, परामर्श तथा सेवा प्राप्त गर्ने अधिकार हुनेछ",26,22
"to conduct study and research on whether the provisions and arrangements made for the promotion and protection of the rights and interests of the Muslim community and their empowerment have been effectively implemented, and to make suggestions to the Government of Nepal for the measures to be taken for their effective implementation",मुस्लिम समुदायको हक हितको संरक्षण र सम्बर्द्धन तथा त्यस्तो समुदायको सशक्तीकरणका सम्बन्धमा भएका व्यवस्था प्रभावकारी रूपमा कार्यान्वयन भए नभएको विषयमा अध्ययन अनुसन्धान गरी प्रभावकारी कार्यान्वयन गर्न चाल्नु पर्ने कदमका सम्बन्धमा नेपाल सरकारलाई सुझाव दिने,52,34
"If the Department does not issue an ordinary passport by the reason as specified in sub-section , it shall provide information thereof to the concerned applicant",विभागले उपदफा बमोजिमको कारणबाट साधारण राहदानी जारी गर्न नसक्ने भएमा सोको जानकारी सम्बन्धित निवेदकलाई दिनु पर्नेछ,26,16
The Rastra Bank may prescribe the necessary terms and conditions while granting approval pursuant to Sub-Section,उपदफा बमोजिम सहायक कम्पनी खोल्ने स्वीकृति दिँदा राष्ट्र बैङ्कले आवश्यक शर्तहरु तोक्न सक्नेछ,16,13
"That which in truth has been received or accepted against the reason of the law, is not to be extended into precedent.",वास्तवमा ने कानूनको औचित्यको विरुद्ध प्राप्त वा स्वीकार गरिएको विषय नजिरको रुपमा कायम हुन सक्दैन ।,22,16
