source,reference,hypothesis
"परिच्छेद-२ आयोगको काम, कर्तव्य र अधिकार आयोगको काम, कर्तव्य र अधिकारः संविधान तथा यस ऐनमा अन्यत्र उल्लिखित काम, कर्तव्य र अधिकारका अतिरिक्त आयोगको अन्य काम, कर्तव्य र अधिकार देहाय बमोजिम हुनेछ :- प्रदेश कानून बमोजिम प्रदेशले स्थानीय तहलाई दिने वित्तीय समानीकरण अनुदान सम्बन्धमा प्रदेशलाई सिफारिस गर्ने, प्रदेश कानून बमोजिम प्रदेशले स्थानीय तहलाई प्रदान गर्ने सशर्त अनुदानको आधार तयार गरी प्रदेशलाई सिफारिस गर्ने, नेपाल सरकार, प्रदेश वा स्थानीय तहबीच राजस्वको बाँडफाँट सम्बन्धमा उठेको विवाद समाधान गर्न आवश्यक सहजीकरण र सहयोग गर्ने, नेपाल सरकारले प्रदेश तथा स्थानीय तहलाई दिने अनुदान सम्बन्धमा नेपाल सरकारलाई सुझाव दिने, नेपाल सरकार तथा प्रदेशले राजस्व बाँडफाँटका सम्बन्धमा कुनै सुझाव माग गरेमा आवश्यक सुझाव दिने, नेपाल सरकार, प्रदेश तथा स्थानीय तहले लगाउने करका सम्बन्धमा नेपाल सरकार, प्रदेश वा स्थानीय तहले सुझाव माग गरेमा आवश्यक सुझाव दिने, प्राकृतिक स्रोतको संरक्षण र उपयोगका विषयमा नेपाल सरकार, प्रदेश तथा स्थानीय तहलाई आवश्यक सुझाव दिने","Chapter-2 Power, Functions and Duties of the Commission Power, Functions and Duties of the Commission: The power, function and duties of the Commission in addition to the power, function and duties of the Commission contained elsewhere in this Act and the Constitution shall be as follows: - to make recommendations to the States in relation to the fiscal equalization grant to be provided by the States to the Local Level in accordance with State Laws, to set bases for determination of the conditional grant to be provided by the State to the Local Level in accordance with State laws and to make recommendations to the State on same, to facilitate and provide assistance necessary to resolve disputes between the Government of Nepal, State or Local Level relating to the distribution of revenues, to make suggestions to the Government of Nepal, in relation to the grants to be provided by the Government of Nepal to the State and Local Level, to provide necessary suggestions to the Government of Nepal and to the States, as requested by them, in relation to the distribution of revenues, to provide necessary suggestions to the Government of Nepal, State and Local Level in case of suggestions requested by them in relation to the taxes levied by them, to make suggestions to the Government of Nepal, State and Local Level in relation to the protection and utilization of Natural Resources","Chapter-2 Power, Functions and Duties of the Commission Power, Functions and Duties of the Commission: The power, function and duties of the Commission, in addition to the power, function and duties of the Commission as mentioned in the Constitution and this Act elsewhere, shall be as follows:- To make recommendation to the Province regarding the equalization grant to be provided by the Province to the Local Level pursuant to the provincial law, To prepare the basis of the concessional grant to be provided by the Province to the Local Level pursuant to the provincial law and to make"
कारवाहीको अन्तिम सिमाना ।,To extreme limit of the terms.,The final limit of action.
कसैले दफा ५४ विपरीत कुनै काम गरेमा भिक्षा माग्न वा मार्न लगाउनेलाई प्रचलित कानून बमोजिम हुने सजायमा पचास प्रतिशत थप सजाय हुनेछ ।,"If any person does any act in contravention of Section 54 shall be liable to additional fifty percent punishment, in addition to the punishment that is imposable on a person who does begging or engages any one in begging pursuant to the prevailing law.",Anyone who commits any act contrary to Section 54 shall be liable to an additional punishment of fifty percent of the punishment imposable under the prevailing law for the offence of beggar or murderer.
सहायक अधिकार मूख्य अधिकारको मातहतमा रहने गर्दछ,"Accessory right do not lead, but follows their principal.",Subsidiary right belongs to the subordinate right.
परिच्छेद-१२ विविध संरक्षक वा माथवर व्यक्तिको मञ्चुरी लिनु पर्ने: यस ऐनमा अन्यत्र जुनसुकै कुरा लेखिएको भए तापनि यस ऐनमा सम्बन्धित व्यक्तिको मञ्जुरीमा सार्वजनिक गर्न वा गोपनीयता खुलासा गर्न सकिने भनी उल्लेख भएका विषयहरू अठार वर्ष उमेर नपुगेको वा मानसिक अवस्था ठीक नभएको वा बौद्धिक अपाङ्गता भएको व्यक्तिसँग सम्बन्धित भएमा त्यस्तो विषय सार्वजनिक गर्दा वा सोसँग सम्बन्धित गोपनीयता खुलासा गर्दा निजको हित हुने भई निजको संरक्षक वा माथवर व्यक्तिले मञ्जुरी दिएको अवस्थामा मात्र सार्वजनिक गर्न वा गोपनीयता खुलासा गर्न सकिनेछ,"Chapter-12 Miscellaneous To obtain consent of guardian or curator: Notwithstanding anything contained elsewhere in this Act, if the matters mentioned in this Act that they may be published or privacy may be disclosed with the consent of the concerned person are related to the person who has not attained the age of eighteen years or who is of unsound mind or who has intellectual disability, such matters may be published or privacy thereof be disclosed only when his or her guardian or curator gives consent and if it benefits him or her while publishing such matters or disclosing privacy related to them.","Chapter-12 Miscellaneous To obtain consent of guardian or curator: Notwithstanding anything contained elsewhere in this Act, if the matters mentioned in this Act that can be made public upon the consent of the concerned person or that privacy may be disclosed are related to a person who is under the age of eighteen years or whose mental condition is not right or who has intellectual disability, it may be in his or her interest to make such matters public or to disclose the privacy related to such matters only upon the consent of his or her guardian or curator"
"राष्ट्रिय महत्वका ठूला परियोजना, अन्तरप्रदेशस्तरीय परियोजना “वा - कार्यक्रम सञ्चालन गर्दा।","While implementing large projects of national importance, inter- provincial level projects or programmes.","While operating large projects of national importance, inter-provincial projects or programs."
"उपदफा बमोजिम प्रमाण बुझ्दा विदेशी राज्यको अदालतको अनुरोध बमोजिम साक्षी परीक्षण गर्नु पर्ने, बन्दसवालको जवाफ तयार गर्नु पर्ने वा प्रमाण,लिखत वा चल वा अचल सम्पत्तिको विवरण दिनु पर्ने विषयमा सीमित रही सम्बन्धित अदालतले प्रमाण बुझ्नु पर्नेछ","In taking evidence pursuant to sub-section , the concerned Court must take evidence being limited to the matter of examination of witness, preparation of answers to the written interrogatories or provision of evidence, document or description of a movable or immovable property pursuant to the request by the court of the foreign state","While taking evidence pursuant to sub-section (1), the concerned court shall examine evidence on such matters as may be restricted as to examine witnesses, prepare answers to interrogatories or provide evidence, letters or description of movable or immovable property as requested by the court of the foreign state"
"“तोकिएको” वा ""तोकिए बमोजिम” भन्नाले यस ऐन अन्तर्गत बनेको नियममा तोकिएको वा तोकिए बमोजिम सम्झनु पर्छ","""Prescribed"" or ""as prescribed"" means prescribed or as prescribed in the Rules framed under this Act","""Prescribed"" or ""as prescribed"" means prescribed or as prescribed in the rules framed under this Act"
कुनै सदस्यले उपदफा बमोजिम बैठकमा छलफल हुने विषय सूचीमा उल्लिखित विषयको अतिरिक्त अन्य कुनै विषयमा छलफल गराउन चाहेमा त्यसरी छलफल गर्न चाहेको विषय र कारण सहितको सूचना बैठक बस्नुभन्दा कम्तीमा चौबीस घण्टा अगावै आयोगको सचिवलाई दिनु पर्नेछ,"Any member interested to discuss additional issues, not included within the list of agenda set to be discussed within the meeting pursuant to sub-section, shall notify the Secretary of the additional issue and reason for its introduction to the meeting 24 hours prior to the meeting","Any member interested to discuss additional issues, not included within the list of agenda set to be discussed in the meeting pursuant to sub-section (1), shall notify the Secretary of the additional issues and reason for their introduction to the meeting 24 hours prior to the meeting"
"मध्यस्थले गर्ने निष्पक्ष व्यवहारले जो जति योग्य हुन्छ, त्यति दिन्छ ।",An equitable arbitration renders each person's due.,An impartial act of mediation gives as much as it is worthy of.
"उपदफा मा जुनसुकै कुरा लेखिएको भए तापनि कसूरजन्य कार्यको आरोप लागेको बालबालिकाको शारीरिक अवस्था, उमेर, कसूरजन्य कार्य गर्दाको परिस्थिति वा निगरानी कक्षको अवस्थालाई ध्यानमा राख्दा निजलाई निगरानी कक्षमा राख उपयुक्त छैन भन्ने बाल अदालतलाई लागेमा बाल अदालतले खोजेको बखत उपस्थित गराउने शर्तमा त्यस्तो बालबालिकालाई निजको बाबु, आमा, परिवारका अन्य सदस्य वा संरक्षक र निजहरू नभए बालबालिकाको हक हितको संरक्षण गर्ने कार्यमा संलग्न सामाजिक संस्था वा बाल सुधार गृहको जिम्मा लगाई मुद्दाको अनुसन्धान गर्ने आदेश दिन सक्नेछ","Notwithstanding anything contained in sub-section (7), if the Juvenile Court is of the opinion that it not reasonable to keep the child accused of offence in the observation chamber, having regard to the child's physical condition, age, circumstances at the time of commission of the offence or condition of the observation chamber, the Juvenile Court may make an order to investigate the case by entrusting such a child to his or her father, mother, other family member or guardian and in their absence to any social organization working in the field of protection of the rights and interests of the child or child reform home on the condition that the child shall make presence when the Juvenile Court so requires","Notwithstanding anything contained in sub-section , if the Juvenile Court considers that it is not appropriate to keep the child accused of committing an offence in his or her physical condition, age, the circumstance of committing the offence or the condition of observation chamber, the Juvenile Court may issue an order to his or her father, mother, other family member or guardian, and in his or her absence, to the social organization or child reform home involved in the protection of the rights and interests of the child, with the condition that such a child"
उपदफा बमोजिम आफूनो दाबी आंशिक स्वीकृत वा अस्वीकृत भएका दाबीकर्ताले सोको जानकारी पाएको पन्ध्र दिनभित्र आफ्नो थप प्रमाण भए सो समेत समावेश गरी दाबी पेश गर्नु पर्नेछ,"A claimant having his/her claim accepted or rejected in part pursuant to Sub- Section shall, within fifteen days from the date of publication of the notice thereof, have to submit his/her claims again enclosing the additional evidences, if any","The claimant whose claim has been partially accepted or rejected pursuant to sub-section shall submit his or her claim, including additional evidence, within fifteen days from the date of receipt of information thereof"
परिच्छेद-११ बैङ्क वा वित्तीय संस्थाको स्वेच्छिक खारेजी बैङ्क वा वित्तीय संस्थाको स्वेच्छिक खारेजी : स्वेच्छिक खारेजीमा जान चाहने कुनै बैङ्क वा वित्तीय संस्थाले स्वेच्छिक खारेजीको कार्ययोजना सहित राष्ट्र बैङ्क समक्ष निवेदन पेश गर्नु पर्नेछु,Chapter-11 Voluntary Liquidation of Banks or Financial Institutions Voluntary Liquidation of Bank or Financial Institution: Any bank or financial institution wishing to go for voluntary liquidation shall submit an application along with an action plan of voluntary liquidation,Chapter-11 Voluntary Liquidation of Bank or Financial Institution Voluntary Liquidation of Bank or Financial Institution: Any bank or financial institution that wishes to go for voluntary liquidation shall have to submit an application to the Rastra Bank along with the action plan of voluntary liquidation
"पानी बग्छ र जहाँ बग्ने गरेको छ, त्यही बग्नु पर्दछ ।",Water runs and ought to run where it is accustomed to run.,"Water runs, and where it has run, it ought to run."
यसै दिन गरिएको ।,Done on this day.,At the same time.
सञ्चालकले राष्ट्र बैङ्कत समय समयमा दिएको निर्देशनको पूर्ण रुपमा पालना गर्नु पर्नेछ,A Director shall have to fully comply with the directives issued by the Rastra Bank from time to time,The Directors shall comply fully with the directives given by the Rastra Bank from time to time
"सम्पत्ति तथा दायित्वको लगत : लिक्विडेटरले यस ऐन बमोजिम बाध्यात्मक खारेजीमा गएको बैङ्क वा वित्तीय संस्थाको सम्पत्ति, दायित्व वा सम्भाव्य दायित्वको अविलम्ब लगत तयार गरी एक प्रति राष्ट्र बैङ्क समक्ष बुझाई एक प्रति सम्बन्धित बैङ्क वा वित्तीय संस्थामा राख्नु पर्नेछ","Records of Assets and Liabilities: A Liquidator shall immediately prepare a record of the assets, liabilities or potential liabilities of a bank or financial institution which has gone into mandatory liquidation under this Act and a copy of which shall be submitted to the Rastra Bank and another copy shall be retained at the concerned bank or financial institution","Records of Assets and Liabilities: A Liquidator shall prepare a record of the assets, liabilities or possible liabilities of a bank or financial institution that has been subjected to mandatory liquidation pursuant to this Act, and submit one copy thereof to the Rastra Bank and one copy thereof shall be deposited with the concerned bank or financial institution"
दोषी भावना बिना गरिएको काम आफैंमा दोष हुँदैन ।,The act itself does not constitute guilt unless done with a guilty intent.,Things which are done without a sense of guilt are not in themselves wrong.
नियम बनाउने अधिकार: यो ऐन कार्यान्वयन गर्न नेपाल सरकारले आवश्यक नियमहरू बनाउन सक्नेछ,Power to frame Rules: The Government of Nepal may frame necessary Rules in order to implement this Act,Power to frame Rules: The Government of Nepal may frame necessary Rules in order to implement this Act
कार्यान्वयनका लागि लेखी पढाउन सक्ने: कुनै निकाय वा पदाधिकारीले आयोगलाई आवश्यक सहयोग उपलब्ध नगराएमा आयोगले कार्यान्वयनको लागि त्यस्तो निकाय वा अधिकारीको तालुक निकाय वा अधिकारी समक्ष लेखी पठाउन सक्नेछ,"Power to send for implementation in writing: If the Commission finds that any agency or official has not made available necessary assistance to the Commission, it may write to the higher agency or official, above such agency or official for assistance in the matter","Power to provide written assistance for implementation: The Commission may, if any agency or official does not provide the Commission with the necessary support, write to the concerned agency or official of such a agency or official for assistance in the implementation of the directives issued by the Commission"
"जुन विषय औपचारिक अभिलेखबाट प्रमाणित भएको छ, त्यस विषयलाई इन्कार गर्न सकिँदैन ।",That which is proved by the record ought not to be denied.,That which is proved by the formal record cannot be denied.
आयोगले नेपाल सरकार वा अन्य कुनै निकायलाई दिएको सुझाव तथा त्यस्तो निकायलाई गरेको सिफारिसको विवरण।,"Details of suggestions, recommendations given by the Commission to Nepal Government or any other agency.",The details of suggestions given by the Commission to the Government of Nepal or any other agency and recommendations made to such agency.
जिल्ला अदालत जिल्लाको सदरमुकाममा रहनेछ,The District Courts shall be located at the headquarters of Districts,District Court shall be located at the headquarters of the district
आयोगको काम कारबाहीमा बाधा नपर्ने: कुनै सदस्यको स्थान रिक्त रहेको कारणले मात्र आयोगको काम कारबाहीमा बाधा पर्ने छैन,"Work, performance of the Commission not to be interrupted: The vacancy of post of any Member shall not interrupt the works of the Commission","Work, performance of the Commission not to be interrupted: The vacancy of post of any Member shall not interrupt the work, performance of the Commission"
विभागीय सजाय हुनेः सार्वजनिक पद धारण गरेको व्यक्तिले यस ऐन बमोजिम गर्नु पर्ने कार्य नगरेमा वा गर्नु नहुने कार्य गरेमा यस ऐन बमोजिम हुने सजायको अतिरिक्त निजको सेवा शार्त सम्बन्धी प्रचलित कानून बमोजिम विभागीय वा अन्य सजाय हुनेछ,"To award departmental punishment: If the person holding a public post does not perform the act to be performed under this Act, or performs any act which is forbidden to be performed, the departmental or other punishment shall be awarded to him or her in accordance with the prevailing law relating to the conditions of his or her service, in addition to the punishment imposable pursuant to this Act.","To have departmental punishment: A person who has held a public position shall, in addition to the punishment imposable under this Act, have to have departmental punishment or other punishment in accordance with the prevailing law relating to his or her terms and conditions of service if he or she has not performed the act required to be performed pursuant to this Act"
बालक वा मानसिक सन्तुलन ठिक नभएको मानिस तथा तिनको हकदारले संरक्षण प्राप्त गरेको सम्पत्ति सम्बन्धी उजुरी ।,An action arising from the cause of a guardian's claim against a minor or his heirs when his guardianship came to an end.,An action against a child or against a person whose mental balance is not right and whose heirs have obtained protection from him or her.
पुनर्स्थापना तथा सामाजिक पुनर्एकीकरण सम्बन्धी दायित्व: बाल गृह वा बाल सुधार गृहमा रहेका बालबालिकाको पुनर्स्थापना तथा सामाजिक पुनर्एकीकरण गर्ने सम्बन्धमा बाल कल्याण अधिकारीलाई सहयोग गर्ने दायित्व सम्बन्धित बाल गृह वा बाल सुधार गृहको हुनेछ,Liability relating to rehabilitation and social reintegration: It shall be the liability of the concerned children’s home or child correction home to assist the child welfare authority in the rehabilitation and social reintegration of the children staying at that children’s home or child correction home,Responsibility relating to rehabilitation and social reintegration: The child home or child reform home shall have the responsibility to assist the child welfare authority with the rehabilitation and social reintegration of the children staying in the child home or child reform home
"सांस्कृतिक जीवनमा सहभागी हुने अधिकार : अपाङ्गता भएका व्यक्तिलाई अन्य व्यक्ति सरह समान आधारमा टेलिभिजन कार्यक्रम, चलचित्र, नाटक, नाटयशाला, सिनेमा हल, पुस्तकालय, पर्यटकीय सेवा, कला, साहित्य, सङ्गीत लगायतका सांस्कृतिक कार्यक्रम वा सेवा र मनोरञ्जनमा पहुँचयुक्त ढाँचा र विधिमा सहभागी हुने अधिकार, हुनेछ ।","Right to participate in the cultural life: The persons with disabilities shall have the right to participate, on an equal basis with others, in cultural programs or services and entertainment, including television programs, films, dramas, theatres, cinema halls, libraries, tourism services, arts, literature and music, in accessible formats and manner.","Right to participate in cultural life: The persons with disabilities shall have the right, on an equal basis with others, to participate in cultural programs, including television programs, movies, dramas, theatres, cinemas, libraries, tourist services, art, literature, music, in accessible formats and modes of service and entertainment."
कार्यविधि तथा निर्देशिका बनाउने अधिकार : यस ऐनको कार्यान्वयन गर्न मन्त्रालयले यो ऐन र यस ऐन अन्तर्गत बनेको नियमको प्रतिकूल नहुने गरी आवश्यक कार्यविधि वा निर्देशिका बनाई लागू गर्न सक्नेछ ।,"Power to make procedures and directives: The Ministry may make and implement necessary procedures or directives for the implementation of this Act, subject to this Act and the Rules framed hereunder.","Power to frame procedures and directives: The Ministry may, in order to implement this Act, frame necessary procedures or directives so that they are not contrary to this Act and the rules framed under this Act."
उपदफा मा जुनसुकै कुरा लेखिएको भए तापनि त्यस्तो विषयमा सङ्घीय कानून नबनेको अवस्थामा प्रदेशले सो विषय कार्यान्वयन गर्न वा कानून बनाउन सक्नेछ।,"The Province shall in implementing or enacting laws on the matters included in the concurrent powers of the Federation and Province, it shall implement the matters related thereto or enact laws on such matters in consistent with federal law.","Notwithstanding anything contained in sub-section (1), in cases where the Province has not enacted a federal law on such matter, it may enforce or enact the federal law on such matter."
"परिभाषा: विषय वा प्रसंगले अर्को अर्थ नलागेमा यस ऐनमा,- कोष भन्नाले दफा ३ अन्तर्गत स्थापना गरिएको कर्मचारी सञ्चय कोष सम्झनु पर्छ ।","Definitions: Unless the subject or the context otherwise requires, in this Act: Fund means the Employee Provident Fund established under Section 3.","Definitions: Unless the subject or the context otherwise requires, in this Act,- Fund means the Employee Provident Fund established under Section 3."
यो ऐन प्रमाणीकरण भएको मितिले एकतीसौं दिनदेखि प्रारम्भ हुनेछ,” The Act shall come into force from the 31st day of the date of assent,This Act shall come into force from the thirty-first day of its authentication
